No.,일시,제출여부,지역,고객구분,사업부,대공정,세부공정,장비사,장비 모델,Option,재료비(원가),영업이익률,계산금액,제출금액,채택 현황,PUMP Model,Pump FSC (As Is),Pump FSC (To Be),SEC 담당,LOT 담당,비고
1,2022-04-04,제출완료,화성,연구소,메모리,CVD,BPSG,ASM,ㅁㄴㅇㄻ,"Heat Exchanger(19F)+End Cell Purge
+ Flush Purge+N2(100)",,0.5,6987324.24,1950000,투자,DD1055H(274116H),,DD1055(27271WP03),구매그룹 정민화,이기웅,
2,2022-03-15,제출완료,ALL,연구소,메모리,DIFF,ZRO,LAM,,Shaft(Φ40)+End Cell Purge+N2(100),,0.5,6987324.24,4000000,투자,DD1855(ADD12N532079),,DD1855(ADD12N532259),구매그룹 정민화,이기웅,
3,2022-03-17,제출완료,평택,,,DIFF,ALO,,,Water 쿨링플레이트 & Line 변경 (직접쿨링 -> 간접쿨링 변경),,,,3745000,투자,DD1855PW (ADD12N532080 / ADD12N613005),,DD1855H (ADD12H532212 / ADD12H613253),구매그룹 정민화,김종균,평택 33대 진행 中
4,2022-05-09,제출완료,평택,,,CVD,MOLD,,,END CELL PURGE / IM MOTOR / 압축비 최적화,,,,4400000,,HD3500,,FSC 생성전,PCS 조현수,김성운,
5,2023-08-25,제출완료,,,,,,,,END CELL PURGE,,,,1350000,,,,,PCS 김민정,김성운,
6,2022-04-18,제출완료,ALL,,,METAL,CVD_W,,,"변경 전 BLW : OLV WS501 / 변경 후 BLW : LOT MK500
(2단 BLW 변경, 온도 변경)",,,,6630000,투자,HD600e,,HD600SePW,구매그룹 정민화,김종균,
7,2022-04-18,제출완료,ALL,,,METAL,CVD_W,,,"(2단 BLW 전환 없음, 온도 변경만 해당)",,,,900000,투자,DD605P,,DD605PW,구매그룹 정민화,김종균,
8,2022-04-18,제출완료,ALL,,,METAL,CVD_W,,,"(2단 BLW 전환 없음, 온도 변경만 해당)",,,,900000,투자,HD600e,,HD600ePW,구매그룹 정민화,김종균,
9,2021-09-30,제출완료,평택,,,CVD,ACL,,,극고온 PUMP (DP 190 / BP 180),,,,6435000,투자,HD2000eH,,HD2000eM,PCS 정기영,김성운,40대
10,2022-08-23,제출완료,평택,,,CVD,ACL,,,극고온 PUMP (DP 190 / BP 180) + BP 고온화 (167℃) 개조 + 칼레츠 O-ring 개조 가격,,,,6800000,-,HD2000eH,,HD2000eM,PCS 조현수,김종균,69대 예정
11,2022-08-23,제출완료,평택,,,CVD,BPSG,,,Pump 저온화 및 압축비 개선을 통한 주기 연장 개선 ,,,,2950000,-,HD2400eH (AHD25HB61098),,HD2400ePW (AHD25CB62228),PCS 조현수,김종균,40
12,2022-08-23,제출완료,평택,,,CVD,IPS-MOLD,,,"압축비 변경, Motor 개선을 통한 Powder 핸들링 개선 투자 (* IM 모터 추가)",,,,4400000,-,HD3500eH,,HD3500eH,PCS 조현수,김종균,97
13,2022-08-23,제출완료,평택,,,CVD,LAM-MOLD,,,"압축비 변경, Motor 개선을 통한 Powder 핸들링 개선 투자 (* IM 모터 제거)",,,,1450000,-,HD3500eH,,HD3500eH (AHD35HD51252),PCS 조현수,김종균,77
14,2022-08-23,제출완료,평택,,,DIFF,ZRO,,,납품방식  변경을 통한 PPS 작업시간 저감 및 환경안전 RISK 제거 ,,,,2055000,현업PO,PPS SMALL Rack,,,PCS 조현수,김종균,18
