FSC,No.,모델,재료비,노무비,퍼센트,경비,퍼센트,원가 계,판관비 30%,원가+판관비,"BEP 판가
(영업이익률 20%)",실제판가,실제 영업이익률,구분
ADD05N413177,1,DD605P,14249050,522920,0.0366985869233388,391146,0.0274506721500732,15163116,4548934.8,19712050.8,23654460.96,18200000,-0.076706924882722,23년 기준
ADD06C593033,2,DD1055PW,14324005,3398401,0.23725215119654,2003712,0.1398848995096,19726118,5917835.4,25643953.4,30772744.08,20970000,-0.182263371294381,26년 기준
ADD06C593180,3,DD1055,13922097,1143687,0.0821490469431437,932904,0.0670088708619111,15998688,4799606.4,20798294.4,24957953.28,21240000,0.0212375876360324,26년 기준
ADD06C593181,4,DD1055,14745606,3282624,0.222617096916871,2005641,0.136016180006437,20033871,6010161.3,26044032.3,31252838.76,21240000,-0.184458084088615,26년 기준
ADD06C603435,5,DD1055PW,14151812,2007668,0.141866497378569,1256900,0.0888154817206447,17416380,5224914,22641294,27169552.8,20970000,-0.0738161873610227,26년 기준
ADD06H593185,6,DD1055,13777652,2883280,0.209272233033611,1731084,0.125644340559625,18392016,5517604.8,23909620.8,28691544.96,21240000,-0.111654669153097,26년 기준
ADD06H593222,7,DD1055H,14233689,1588429,0.111596438562062,1071875,0.0753054952935954,16893993,5068197.9,21962190.9,26354629.08,21240000,-0.0328833723050827,26년 기준
ADD06H603201,8,DD1055,15092727,522283,0.0346049458126421,491883,0.0325907306214444,16106893,4832067.9,20938960.9,25126753.08,21240000,0.0143769837212887,23년 기준
ADD06H603370,9,DD1055,13984588,1292442,0.0924190258590385,937648,0.0670486681481071,16214678,4864403.4,21079081.4,25294897.68,21240000,0.00763404234493831,26년 기준
ADD06H603434,10,DD1055H,14206506,1249972,0.087985884777017,949701,0.0668497236407038,16406179,4921853.7,21328032.7,25593639.24,21240000,-0.00412755837532072,26년 기준
ADD06N593170,11,DD1055,14678300,1439189,0.0980487522397008,1058260,0.0720969049549335,17175749,5152724.7,22328473.7,26794168.44,21240000,-0.0487482357560338,24년 기준
ADD06N603320,12,DD1055,14296546,1614915,0.11295840267992,1635647,0.11440854315441,17547108,5264132.4,22811240.4,27373488.48,21240000,-0.0688800947448697,24년 기준
ADD06N603371,13,DD1055,14776207,2589551,0.175251402474262,1728202,0.116958431889862,19093960,5728188,24822148,29786577.6,21240000,-0.144312571176354,24년 기준
ADD06N603372,14,DD1055,14778385,2621289,0.177373170343038,2633284,0.178184828721136,20032958,6009887.4,26042845.4,31251414.48,21240000,-0.184420915849694,24년 기준
ADD06N603373,15,DD1055,14659264,510199,0.0348038619128491,478775,0.0326602345110914,15648238,4694471.4,20342709.4,24411251.28,21240000,0.0441087065816317,23년 기준
ADD06N603436,16,DD1055PW,14628709,1201582,0.0821386220752631,954225,0.0652296111707465,16784516,5035354.8,21819870.8,26183844.96,20970000,-0.0389493965289657,26년 기준
ADD09N433186,17,DD1205P,16702436,757660,0.0453622453634907,587141,0.0351530160031746,18047237,5414171.1,23461408.1,28153689.72,24500000,0.0442680974463761,24년 기준
ADD12C613001,18,DD1855PW,15943415,2866323,0.17978099422238,1595885,0.100096811128607,20405623,6121686.9,26527309.9,31832771.88,27835000,0.0492959936356005,26년 기준
ADD12C613003,19,DD1855PW,16560532,1799981,0.108691013066488,1463690,0.0883842378976714,19824203,5947260.9,25771463.9,30925756.68,27835000,0.0800705814775233,24년 기준
ADD12C613004,20,DD1855PW,16366109,1851798,0.113148335991163,1418680,0.086684012675218,19636587,5890976.1,25527563.1,30633075.72,27835000,0.0903900184659615,24년 기준
ADD12C613375,21,DD1855PW,15880912,1392099,0.0876586306882124,951014,0.0598840922989813,18224025,5467207.5,23691232.5,28429479,27835000,0.174907215148051,26년 기준
ADD12C613419,22,DD1855PW,16587263,3548966,0.21395729964612,2646700,0.159562189373859,22782929,6834878.7,29617807.7,35541369.24,27835000,-0.0601937765974488,26년 기준
ADD12C613438,23,DD1855PW,16214422,1570829,0.0968785072943087,1094055,0.0674741905693586,18879306,5663791.8,24543097.8,29451717.36,27835000,0.13412741239209,26년 기준
ADD12H613253,24,DD1855H,16625788,484476,0.0291400323401213,445754,0.0268109998756149,17556018,5266805.4,22822823.4,27387388.08,37700000,0.651855221383346,24년 기준
ADD12N613085,25,DD1855P,15208178,1404125,0.0923269703971113,955523,0.0628295513111433,17567826,5270347.8,22838173.8,27405808.56,28405000,0.243750934236257,26년 기준
ADD12N613194,26,DD1855P,15820697,579627,0.0366372606718908,655304,0.0414206782419258,17055628,5116688.4,22172316.4,26606779.68,28405000,0.281102050302692,23년 기준
ADD12N613257,27,DD1855P,15380145,1369240,0.0890264688661908,953818,0.0620161903545123,17703203,5310960.9,23014163.9,27616996.68,28405000,0.234239928220899,26년 기준
ADD12X613006,28,DD1855M,16063361,1245845,0.0775581772706223,969199,0.0603360031565001,18278405,5483521.5,23761926.5,28514311.8,30160000,0.269257355879794,26년 기준
ADD12X613204,29,DD1855M,15633254,2561312,0.163837419899913,1539886,0.0985006704298414,19734452,5920335.6,25654787.6,30785745.12,30160000,0.175609031352885,26년 기준
ADD12X613376,30,DD1855M,16157195,447485,0.0276957107963356,422439,0.0261455654895543,17027119,5108135.7,22135254.7,26562305.64,30160000,0.36253232270239,23년 기준
ADD18H611276,31,DD2000HP,15898898,1483309,0.0932963404130274,1082035,0.0680572326459356,18464242,5539272.6,24003514.6,28804217.52,26260000,0.0940064585375343,26년 기준
ADD48HUI1378,32,DD100KHHF,55630375,5116296,0.091969468118811,3816790,0.068609819725285,64563461,19369038.3,83932499.3,100718999.16,88000000,0.0484615701179293,26년 기준
AHD01N211209,33,HD120,7407183,1489652,0.201109112600566,919954,0.124197552564855,9816789,2945036.7,12761825.7,15314190.84,15800000,0.23806737150469,26년 기준
AHD06C781140,34,HD600ePW,11540848,2792798,0.241992442843022,1904261,0.165001826555553,16237907,4871372.1,21109279.1,25331134.92,20150000,-0.0454434798770557,26년 기준
AHD06C782375,35,HD600ePW,11862926,3173866,0.26754495476074,2602763,0.219403121961648,17639555,5291866.5,22931421.5,27517705.8,20150000,-0.121293025816127,26년 기준
AHD06N781141,36,HD600e,11856774,2655606,0.223973738556542,1534916,0.129454774123214,16047296,4814188.8,20861484.8,25033781.76,21756000,0.0428787887619581,26년 기준
AHD06N781399,37,HD600e,12106808,1632069,0.134805887728623,1101146,0.0909526276455363,14840023,4452006.9,19292029.9,23150435.88,21756000,0.127719587455128,26년 기준
AHD06N782146,38,HD600e,11922610,1353954,0.113561879487797,949233,0.0796162081960242,14225797,4267739.1,18493536.1,22192243.32,21756000,0.176411038016683,26년 기준
AHD12C782031,39,HD1200ePW,12087507,1259015,0.104158367809011,855301,0.0707590903566798,14201823,4260546.9,18462369.9,22154843.88,14000000,-0.241700817618219,26년 기준
AHD12N781125,40,HD1200e,11629299,1109205,0.0953802116533421,820308,0.0705380436086474,13558812,4067643.6,17626455.6,21151746.72,17500000,-0.00717419331882023,24년 기준
AHD12N781150,41,HD1200e,11641037,1889716,0.162332273318949,1164429,0.100027944245861,14695182,4408554.6,19103736.6,22924483.92,17500000,-0.0839488438089123,26년 기준
AHD12N782127,42,HD1200e,12090019,2703661,0.223627522835159,1669413,0.138081916992852,16463093,4938927.9,21402020.9,25682425.08,17500000,-0.182320207901488,26년 기준
AHD12N782395,43,HD1200e,12287443,1642288,0.133655798037069,1105122,0.0899391354246771,15034853,4510455.9,19545308.9,23454370.68,17500000,-0.1046444909346,26년 기준
AHD18C971211,44,HD2000ePW,13599011,2100795,0.154481454570483,1484584,0.109168527034797,17184390,5155317,22339707,26807648.4,23570000,0.0550720293690513,24년 기준
AHD18H971014,45,HD2000,13386029,1710520,0.127783975367153,1098619,0.0820720618489621,16195168,4858550.4,21053718.4,25264462.08,26400000,0.253935266845784,26년 기준
AHD18H971153,46,HD2000,13491613,1297472,0.0961687827837932,885796,0.0656553074862138,15674881,4702464.3,20377345.3,24452814.36,26400000,0.295556394188403,26년 기준
AHD18H972130,47,HD2000,13610242,2760471,0.202823065159312,1853312,0.136170392855616,18224025,5467207.5,23691232.5,28429479,26400000,0.114336284530575,26년 기준
AHD18H972131,48,HD2000,13419483,2252040,0.167818685712408,1613518,0.12023697187142,17285041,5185512.3,22470553.3,26964663.96,26400000,0.174870936533637,26년 기준
AHD18H972356,49,HD2000,13384072,2863376,0.213939076239279,2193593,0.163895785976047,18441041,5532312.3,23973353.3,28768023.96,26400000,0.101222664582347,26년 기준
AHD18N971133,50,HD2000,13201430,1310698,0.0992845472043559,956666,0.0724668463946709,15468794,4640638.2,20109432.2,24131318.64,26400000,0.31281677858612,26년 기준
AHD18N972134,51,HD2000,13123968,2739242,0.20872056378071,1982384,0.151050657849821,17845594,5353678.2,23199272.2,27839126.64,26400000,0.137966733283986,26년 기준
AHD18X971188,52,HD2000eM,16702436,757660,0.0453622453634907,587141,0.0351530160031746,18047237,5414171.1,23461408.1,28153689.72,29880000,0.27358084700807,23년 기준
AHD35HD51396,53,HD3500eH,24853421,2711537,0.109101157542859,1564122,0.0629338713571866,29129080,8738724,37867804,45441364.8,41325000,0.0912964480327404,26년 기준
AHD45CD63398,54,HD4500ePW,23812835,1049622,0.0440779940733642,899272,0.037764172136581,25761729,7728518.7,33490247.7,40188297.24,64380000,0.922350666877869,26년 기준
AHD45XD63204,55,HD4500eM,25456583,1195397,0.0469582661585021,978118,0.0384229886626968,27630098,8289029.4,35919127.4,43102952.88,55670000,0.549870612948131,26년 기준
AHD45XD63397,56,HD4500eM,25699716,1056048,0.0410918159562542,910367,0.0354232319143138,27666131,8299839.3,35965970.3,43159164.36,55670000,0.547852026113696,26년 기준
AHD55HE02298,57,HD5500HHF,30065132,1231216,0.0409516246261616,954720,0.0317550576528319,32251068,9675320.4,41926388.4,50311666.08,71500000,0.705369881084248,26년 기준
ALD01L311012,58,LD120,7284940,1556944,0.213720909163288,963314,0.132233621690776,9805198,2941559.4,12746757.4,15296108.88,11700000,-0.0821195043690092,26년 기준
AMK200111001,59,MK2000_IV,6404797,350613,0.0547422502227627,249042,0.0388836679757376,7004452,2101335.6,9105787.6,10926945.12,12730000,0.398011963292445,26년 기준
AMK200111002,60,MK2000_IV,7366651,571074,0.0775215223308394,366214,0.0497124134155398,8303939,2491181.7,10795120.7,12954144.84,12730000,0.179236467453301,26년 기준
AMK200111044,61,MK2000_IV,7123580,150596,0.0211404939651131,121822,0.0171012328070998,7395998,2218799.4,9614797.4,11537756.88,12730000,0.324000857261953,23년 기준
AMK200111055,62,MK2000_IV,7230278,398741,0.0551487785116976,271763,0.0375867981839702,7900782,2370234.6,10271016.6,12325219.92,12730000,0.239409933384783,26년 기준
AMK500141003,63,MK5000_IV,12135789,579402,0.0477432493264344,360147,0.0296764388372276,13075338,3922601.4,16997939.4,20397527.28,23310000,0.371342693456126,26년 기준
AMK500141004,64,MK5000_IV,11214931,376026,0.0335290515831083,276818,0.0246829873496324,11867775,3560332.5,15428107.5,18513729,23310000,0.510878764618408,26년 기준
AMK700151005,65,MK7000_IV,13330219,435654,0.0326816836242525,314943,0.0236262434998255,14080816,4224244.8,18305060.8,21966072.96,28900000,0.578798361598449,26년 기준
AMK700151006,66,MK7000_IV,14018097,573416,0.0409054096287107,372352,0.0265622359440087,14963865,4489159.5,19453024.5,23343629.4,28900000,0.485630165119054,26년 기준
ARD02L261023,67,RD200L,7450708,1230365,0.165133971160862,814215,0.109280218738944,9495288,2848586.4,12343874.4,14812649.28,11500000,-0.0683638193855894,26년 기준
ARD06CG81032,68,RD602,11005586,1327112,0.120585310041646,1032214,0.0937900080922542,13364912,4009473.6,17374385.6,20849262.72,16700000,-0.0388149322529138,26년 기준
ARD06CG81135,69,RD602,11511943,1894245,0.164546071849035,1299381,0.112872431699844,14705569,4411670.7,19117239.7,22940687.64,16700000,-0.126442924707378,26년 기준
AXD12NR61001,70,XD1200,12014720,525012,0.0436973978586268,478343,0.039813079289405,13018075,3905422.5,16923497.5,20308197,13900000,-0.178656775882172,23년 기준
AXD12NR61008,71,XD1200,11588416,1469506,0.126808185001298,1007543,0.0869439792289127,14065465,4219639.5,18285104.5,21942125.4,13900000,-0.239818399725307,26년 기준
